,name,Born,Died,Genres,Influences
0,Albert Einstein,"in Ulm, kingdom of Württemberg, German empire, March 14, 1879","April 18, 1955","['Science', 'Philosophy', 'Physics']","['Bertrand Russell', 'Sigmund Freud', 'Baruch Spinoza', 'Niels Bohr', 'Karl Pearson', 'Marie Curie', 'Bernhard Riemann', 'Edmond Halley', 'Isaac Newton', 'Michael Faraday', 'James Clerk Maxwell', 'Johannes Kepler', 'Percy Williams Bridgman', 'Emmy Noether', 'Alfred Whitehead']"
1,J.K. Rowling,"in Yate, South Gloucestershire, England, The United Kingdom, July 31, 1965",Still alive,"['Fiction', 'Young Adult', 'Fantasy']","['Jane Austen', 'Geoffrey Chaucer', 'Oscar Wilde', 'C.S. Lewis']"
2,Jane Austen,"in Steventon Rectory, Hampshire, England, December 16, 1775","July 18, 1817","['Fiction', 'Romance', 'Humor and Comedy']","['Frances Burney', 'Mary Brunton', 'Samuel Johnson']"
3,Marilyn Monroe,"in The United States, June 01, 1926","August 05, 1962","['Biographies & Memoirs', 'Nonfiction', 'Poetry']",
4,André Gide,"in Paris, France, November 22, 1869","February 19, 1951","['Literature & Fiction', 'Biographies & Memoirs']","['Goethe', 'Dostoevsky', 'Rabindranath Tagore', 'Mallarmé', 'Martin du Gard', 'Nietzsche', 'Schopenhauer', 'Wilde', 'Henry Fielding']"
5,Thomas A. Edison,"in Milan, Ohio, The United States, February 11, 1847","October 18, 1931",['Science'],"['Robert Ingersoll', 'Thomas Paine', 'Joseph Lewis', 'Luther Burbank', 'John Burroughs', 'Nikola Tesla', 'Eadweard Muybridge', 'John Ambrose Fleming', 'Granville Woods', 'Hudson Maxim']"
6,Eleanor Roosevelt,"in The United States, October 11, 1884","November 07, 1962",['Nonfiction'],
7,Steve Martin,"in Waco, Texas, The United States, http://stevemartin.com",Still alive,"['Literature & Fiction', 'Biographies & Memoirs', 'Humor']",
8,Bob Marley,"in Nine Mile, Saint Ann, Jamaica, February 06, 1945","May 11, 1981",['Poetry'],
9,Dr. Seuss,"in Springfield, Massachusetts, The United States, March 02, 1904","September 24, 1991","[""Children's Books""]",
10,Douglas Adams,"in Cambridge, England, The United Kingdom, March 11, 1952","May 11, 2001","['Science Fiction', 'Mystery', 'Humor']","['Monty Python', 'Kurt Vonnegut', 'P. G. Wodehouse', 'Charles Dickens', 'Jane Austen']"
11,Elie Wiesel,"in Sighet, Kingdom of Romania, September 30, 1928","July 02, 2016","['Memoir', 'Fiction']",
12,Friedrich Nietzsche,"in Röcken, Province of Saxony, Prussia, German Confederation, October 15, 1844","August 25, 1900","['Philosophy', 'Psychology', 'Art']","['Schopenhauer', 'Kant', 'Stirner', 'Voltaire', 'Hegel', 'Aristotle', 'Epicurus', 'Heraclitus', 'Goethe', 'Thomas Carlyle', 'Dostoyevsky', 'Socrates', 'Leopardi', 'Emerson', 'Wagner', 'Winckelmann', 'Hölderlin']"
13,Mark Twain,"in Florida, Missouri, The United States, November 30, 1835","April 21, 1910","['Literature & Fiction', 'Short Stories', 'Biographies & Memoirs']","['Robert Ingersoll', 'Ambrose Bierce', 'E. Haldeman-Julius', 'Jacques Loeb']"
14,Allen Saunders,"in The United States, April 24, 1899","January 28, 1986",,
